categoria,archivo,anio,fila_excel,cantidad_valores_no_nulos,primeros_valores
Ingresos Salud,Ingresos_Percibidos_Salud_4trim_2023.xlsx,2023,8,184,1107 | ALTO HOSPICIO | SALUD | 4 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
Ingresos Salud,ingresos_salud(2015).xlsx,2015,1,0,
Ingresos Salud,ingresos_salud(2015).xlsx,2015,2,0,
Ingresos Salud,ingresos_salud(2015).xlsx,2015,3,1,AÑO 2015
Ingresos Salud,ingresos_salud(2015).xlsx,2015,4,162,INFORME DE INGRESOS (SALUD) | SSS.03.00.000.000.000 | SSS.03.01.000.000.000 | SSS.03.01.001.000.000 | SSS.03.01.001.001.000 | SSS.03.01.001.002.000 | SSS.03.01.002.000.000 | SSS.03.01.002.001.000 | SSS.03.01.002.002.000 | SSS.03.01.002.003.000 | SSS.03.01.003.000.000 | SSS.03.01.003.001.000
Ingresos Salud,ingresos_salud(2015).xlsx,2015,5,166,Código | Comuna | Sector | Trimestre | TRIBUTOS SOBRE EL USO DE BS. Y LA REALIZACION DE ACTIVIDADES | PATENTES Y TASAS POR DERECHOS | Patentes Municipales | De Beneficio Municipal | De Beneficio Fondo Común Municipal | Derechos de Aseo | En Impuesto Territorial | En Patentes Municipales
Ingresos Salud,ingresos_salud(2015).xlsx,2015,6,1,Región de TARAPACA
Ingresos Salud,ingresos_salud(2015).xlsx,2015,7,166,1403 | COLCHANE | SALUD | 4 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
Ingresos Salud,ingresos_salud(2015).xlsx,2015,8,166,1107 | ALTO HOSPICIO | SALUD | 4 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
Ingresos Salud,ingresos_salud(2016).xlsx,2016,1,0,
Ingresos Salud,ingresos_salud(2016).xlsx,2016,2,0,
Ingresos Salud,ingresos_salud(2016).xlsx,2016,3,1,AÑO 2016
Ingresos Salud,ingresos_salud(2016).xlsx,2016,4,162,INFORME DE INGRESOS (SALUD) | SSS.03.00.000.000.000 | SSS.03.01.000.000.000 | SSS.03.01.001.000.000 | SSS.03.01.001.001.000 | SSS.03.01.001.002.000 | SSS.03.01.002.000.000 | SSS.03.01.002.001.000 | SSS.03.01.002.002.000 | SSS.03.01.002.003.000 | SSS.03.01.003.000.000 | SSS.03.01.003.001.000
Ingresos Salud,ingresos_salud(2016).xlsx,2016,5,166,Código | Comuna | Sector | Trimestre | TRIBUTOS SOBRE EL USO DE BS. Y LA REALIZACION DE ACTIVIDADES | PATENTES Y TASAS POR DERECHOS | Patentes Municipales | De Beneficio Municipal | De Beneficio Fondo Común Municipal | Derechos de Aseo | En Impuesto Territorial | En Patentes Municipales
Ingresos Salud,ingresos_salud(2016).xlsx,2016,6,1,Región de TARAPACA
Ingresos Salud,ingresos_salud(2016).xlsx,2016,7,166,1403 | COLCHANE | SALUD | 4 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
Ingresos Salud,ingresos_salud(2016).xlsx,2016,8,166,1107 | ALTO HOSPICIO | SALUD | 4 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
Ingresos Salud,ingresos_salud(2017).xlsx,2017,1,0,
Ingresos Salud,ingresos_salud(2017).xlsx,2017,2,0,
Ingresos Salud,ingresos_salud(2017).xlsx,2017,3,1,AÑO 2017
Ingresos Salud,ingresos_salud(2017).xlsx,2017,4,162,INFORME DE INGRESOS (SALUD) | SSS.03.00.000.000.000 | SSS.03.01.000.000.000 | SSS.03.01.001.000.000 | SSS.03.01.001.001.000 | SSS.03.01.001.002.000 | SSS.03.01.002.000.000 | SSS.03.01.002.001.000 | SSS.03.01.002.002.000 | SSS.03.01.002.003.000 | SSS.03.01.003.000.000 | SSS.03.01.003.001.000
Ingresos Salud,ingresos_salud(2017).xlsx,2017,5,166,Código | Comuna | Sector | Trimestre | TRIBUTOS SOBRE EL USO DE BS. Y LA REALIZACION DE ACTIVIDADES | PATENTES Y TASAS POR DERECHOS | Patentes Municipales | De Beneficio Municipal | De Beneficio Fondo Común Municipal | Derechos de Aseo | En Impuesto Territorial | En Patentes Municipales
Ingresos Salud,ingresos_salud(2017).xlsx,2017,6,1,Región de TARAPACA
Ingresos Salud,ingresos_salud(2017).xlsx,2017,7,166,1403 | COLCHANE | SALUD | 4 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
Ingresos Salud,ingresos_salud(2017).xlsx,2017,8,166,1107 | ALTO HOSPICIO | SALUD | 4 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
Ingresos Salud,ingresos_salud(2018).xlsx,2018,1,0,
Ingresos Salud,ingresos_salud(2018).xlsx,2018,2,0,
Ingresos Salud,ingresos_salud(2018).xlsx,2018,3,1,AÑO 2018
Ingresos Salud,ingresos_salud(2018).xlsx,2018,4,162,INFORME DE INGRESOS (SALUD) | SSS.03.00.000.000.000 | SSS.03.01.000.000.000 | SSS.03.01.001.000.000 | SSS.03.01.001.001.000 | SSS.03.01.001.002.000 | SSS.03.01.002.000.000 | SSS.03.01.002.001.000 | SSS.03.01.002.002.000 | SSS.03.01.002.003.000 | SSS.03.01.003.000.000 | SSS.03.01.003.001.000
Ingresos Salud,ingresos_salud(2018).xlsx,2018,5,166,Código | Comuna | Sector | Trimestre | TRIBUTOS SOBRE EL USO DE BS. Y LA REALIZACION DE ACTIVIDADES | PATENTES Y TASAS POR DERECHOS | Patentes Municipales | De Beneficio Municipal | De Beneficio Fondo Común Municipal | Derechos de Aseo | En Impuesto Territorial | En Patentes Municipales
Ingresos Salud,ingresos_salud(2018).xlsx,2018,6,1,Región de TARAPACÁ
Ingresos Salud,ingresos_salud(2018).xlsx,2018,7,166,1403 | COLCHANE | SALUD | 4 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
Ingresos Salud,ingresos_salud(2018).xlsx,2018,8,166,1107 | ALTO HOSPICIO | SALUD | 4 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
Ingresos Salud,ingresos_salud(2019).xlsx,2019,1,0,
Ingresos Salud,ingresos_salud(2019).xlsx,2019,2,0,
Ingresos Salud,ingresos_salud(2019).xlsx,2019,3,1,AÑO 2019
Ingresos Salud,ingresos_salud(2019).xlsx,2019,4,173,INFORME DE INGRESOS (SALUD) | SSS.03.00.000.000.000 | SSS.03.01.000.000.000 | SSS.03.01.001.000.000 | SSS.03.01.001.001.000 | SSS.03.01.001.002.000 | SSS.03.01.002.000.000 | SSS.03.01.002.001.000 | SSS.03.01.002.002.000 | SSS.03.01.002.003.000 | SSS.03.01.003.000.000 | SSS.03.01.003.001.000
Ingresos Salud,ingresos_salud(2019).xlsx,2019,5,177,Código | Comuna | Sector | Trimestre | CXC TRIBUTOS SOBRE EL USO DE BS. Y LA REALIZACION DE ACTIVIDADES | PATENTES Y TASAS POR DERECHOS | Patentes Municipales | De Beneficio Municipal | De Beneficio Fondo Común Municipal | Derechos de Aseo | En Impuesto Territorial | En Patentes Municipales
Ingresos Salud,ingresos_salud(2019).xlsx,2019,6,1,Región de TARAPACÁ
Ingresos Salud,ingresos_salud(2019).xlsx,2019,7,177,1403 | COLCHANE | SALUD | 4 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
Ingresos Salud,ingresos_salud(2019).xlsx,2019,8,177,1107 | ALTO HOSPICIO | SALUD | 4 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
Ingresos Salud,ingresos_salud(2020).xlsx,2020,1,0,
Ingresos Salud,ingresos_salud(2020).xlsx,2020,2,0,
Ingresos Salud,ingresos_salud(2020).xlsx,2020,3,1,AÑO 2020
Ingresos Salud,ingresos_salud(2020).xlsx,2020,4,173,INFORME DE INGRESOS (SALUD) | SSS.03.00.000.000.000 | SSS.03.01.000.000.000 | SSS.03.01.001.000.000 | SSS.03.01.001.001.000 | SSS.03.01.001.002.000 | SSS.03.01.002.000.000 | SSS.03.01.002.001.000 | SSS.03.01.002.002.000 | SSS.03.01.002.003.000 | SSS.03.01.003.000.000 | SSS.03.01.003.001.000
Ingresos Salud,ingresos_salud(2020).xlsx,2020,5,177,Código | Comuna | Sector | Trimestre | CXC TRIBUTOS SOBRE EL USO DE BS. Y LA REALIZACION DE ACTIVIDADES | PATENTES Y TASAS POR DERECHOS | Patentes Municipales | De Beneficio Municipal | De Beneficio Fondo Común Municipal | Derechos de Aseo | En Impuesto Territorial | En Patentes Municipales
Ingresos Salud,ingresos_salud(2020).xlsx,2020,6,1,Región de TARAPACÁ
Ingresos Salud,ingresos_salud(2020).xlsx,2020,7,177,1403 | COLCHANE | SALUD | 4 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
Ingresos Salud,ingresos_salud(2020).xlsx,2020,8,177,1107 | ALTO HOSPICIO | SALUD | 4 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
Ingresos Salud,ingresos_salud(2021).xlsx,2021,1,0,
Ingresos Salud,ingresos_salud(2021).xlsx,2021,2,0,
Ingresos Salud,ingresos_salud(2021).xlsx,2021,3,1,AÑO 2021
Ingresos Salud,ingresos_salud(2021).xlsx,2021,4,173,INFORME DE INGRESOS (SALUD) | SSS.03.00.000.000.000 | SSS.03.01.000.000.000 | SSS.03.01.001.000.000 | SSS.03.01.001.001.000 | SSS.03.01.001.002.000 | SSS.03.01.002.000.000 | SSS.03.01.002.001.000 | SSS.03.01.002.002.000 | SSS.03.01.002.003.000 | SSS.03.01.003.000.000 | SSS.03.01.003.001.000
Ingresos Salud,ingresos_salud(2021).xlsx,2021,5,177,Código | Comuna | Sector | Trimestre | CXC TRIBUTOS SOBRE EL USO DE BS. Y LA REALIZACION DE ACTIVIDADES | PATENTES Y TASAS POR DERECHOS | Patentes Municipales | De Beneficio Municipal | De Beneficio Fondo Común Municipal | Derechos de Aseo | En Impuesto Territorial | En Patentes Municipales
Ingresos Salud,ingresos_salud(2021).xlsx,2021,6,1,Región de TARAPACÁ
Ingresos Salud,ingresos_salud(2021).xlsx,2021,7,177,1403 | COLCHANE | SALUD | 4 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
Ingresos Salud,ingresos_salud(2021).xlsx,2021,8,177,1107 | ALTO HOSPICIO | SALUD | 4 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
Ingresos Salud,INGRESOS_SALUD_2024.xlsx,2024,1,0,
Ingresos Salud,INGRESOS_SALUD_2024.xlsx,2024,2,0,
Ingresos Salud,INGRESOS_SALUD_2024.xlsx,2024,3,1,AÑO 2024
Ingresos Salud,INGRESOS_SALUD_2024.xlsx,2024,4,183,INFORME DE INGRESOS (SALUD) | SSS.03.00.000.000.000 | SSS.03.01.000.000.000 | SSS.03.01.001.000.000 | SSS.03.01.001.001.000 | SSS.03.01.001.002.000 | SSS.03.01.002.000.000 | SSS.03.01.002.001.000 | SSS.03.01.002.002.000 | SSS.03.01.002.003.000 | SSS.03.01.003.000.000 | SSS.03.01.003.001.000
Ingresos Salud,INGRESOS_SALUD_2024.xlsx,2024,5,187,Código | Comuna | Sector | Trimestre | CXC TRIBUTOS SOBRE EL USO DE BS. Y LA REALIZACION DE ACTIVIDADES | PATENTES Y TASAS POR DERECHOS | Patentes Municipales | De Beneficio Municipal | De Beneficio Fondo Común Municipal | Derechos de Aseo | En Impuesto Territorial | En Patentes Municipales
Ingresos Salud,INGRESOS_SALUD_2024.xlsx,2024,6,1,Región de TARAPACÁ
Ingresos Salud,INGRESOS_SALUD_2024.xlsx,2024,7,187,1403 | COLCHANE | SALUD | 4 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
Ingresos Salud,INGRESOS_SALUD_2024.xlsx,2024,8,187,1107 | ALTO HOSPICIO | SALUD | 4 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
Ingresos Salud,INGRESOS_SALUD_2025.xlsx,2025,1,0,
Ingresos Salud,INGRESOS_SALUD_2025.xlsx,2025,2,0,
Ingresos Salud,INGRESOS_SALUD_2025.xlsx,2025,3,1,AÑO 2025
Ingresos Salud,INGRESOS_SALUD_2025.xlsx,2025,4,183,INFORME DE INGRESOS (SALUD) | SSS.03.00.000.000.000 | SSS.03.01.000.000.000 | SSS.03.01.001.000.000 | SSS.03.01.001.001.000 | SSS.03.01.001.002.000 | SSS.03.01.002.000.000 | SSS.03.01.002.001.000 | SSS.03.01.002.002.000 | SSS.03.01.002.003.000 | SSS.03.01.003.000.000 | SSS.03.01.003.001.000
Ingresos Salud,INGRESOS_SALUD_2025.xlsx,2025,5,187,Código | Comuna | Sector | Trimestre | CXC TRIBUTOS SOBRE EL USO DE BS. Y LA REALIZACION DE ACTIVIDADES | PATENTES Y TASAS POR DERECHOS | Patentes Municipales | De Beneficio Municipal | De Beneficio Fondo Común Municipal | Derechos de Aseo | En Impuesto Territorial | En Patentes Municipales
Ingresos Salud,INGRESOS_SALUD_2025.xlsx,2025,6,1,Región de TARAPACÁ
Ingresos Salud,INGRESOS_SALUD_2025.xlsx,2025,7,187,1403 | COLCHANE | SALUD | 4 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
Ingresos Salud,INGRESOS_SALUD_2025.xlsx,2025,8,187,1107 | ALTO HOSPICIO | SALUD | 4 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
