anio,codigo_comuna,comuna,sector_modelo,sector_origen,trimestre,codigo_indicador,indicador,valor,archivo_origen
2015,4304,PUNITAQUI,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,4305,RÍO HURTADO,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,5502,CALERA,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,5101,VALPARAÍSO,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,5102,CASABLANCA,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,5103,CONCÓN,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,5104,JUAN FERNÁNDEZ,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,5105,PUCHUNCAVÍ,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,5107,QUINTERO,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,5109,VIÑA DEL MAR,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,5201,ISLA DE PASCUA,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,5301,LOS ANDES,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,5302,CALLE LARGA,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,5303,RINCONADA,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,5304,SAN ESTEBAN,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,5401,LA LIGUA,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,5402,CABILDO,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,5403,PAPUDO,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,5404,PETORCA,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,5405,ZAPALLAR,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,5501,QUILLOTA,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,5503,HIJUELAS,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,5504,LA CRUZ,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,5506,NOGALES,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,5601,SAN ANTONIO,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,5602,ALGARROBO,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,5603,CARTAGENA,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,5604,EL QUISCO,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,5605,EL TABO,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
