codigo_comuna,total_hogares,porcentaje_computador,porcentaje_internet_fija,porcentaje_internet_movil
1101,71344,56.53874187037452,75.10091948867459,87.60792778649922
1107,42399,43.019882544399636,60.02264204344442,86.28269534658837
1401,5675,37.67400881057269,38.07929515418502,84.66960352422907
1402,489,24.539877300613497,5.112474437627812,74.43762781186093
1403,353,6.232294617563739,1.9830028328611897,37.110481586402265
1404,1039,26.46775745909528,9.528392685274301,79.4995187680462
1405,2184,39.789377289377285,31.08974358974359,86.12637362637363
2101,135023,60.14456796249527,77.81637202550677,90.69788110173822
2102,4774,45.28697109342271,61.75115207373272,88.47926267281106
2103,487,57.28952772073922,23.613963039014372,73.92197125256673
2104,4129,43.303463308307094,49.23710341487043,79.05061758294987
2201,56541,55.81613342530199,71.78330768822624,88.47561946198333
2202,102,39.21568627450981,12.745098039215685,88.23529411764706
2203,3919,41.43914263842817,6.685378923194693,85.48099004848176
2301,8811,44.31960049937578,67.30223584156168,82.27215980024968
2302,1649,52.63796240145543,45.96725288053366,91.75257731958763
3101,57356,53.30218285793988,65.8623334960597,88.1372480647186
3102,6984,44.60194730813288,45.546964490263456,87.67182130584192
3103,3889,40.16456672666495,25.81640524556441,84.13473900745693
3201,4415,46.4326160815402,17.41789354473386,87.42921857304643
3202,4168,50.79174664107485,34.93282149712092,89.9232245681382
3301,18778,44.584087762275004,55.42123761848973,83.71498562147194
3302,1922,29.656607700312176,4.422476586888657,78.35587929240374
3303,2736,39.29093567251462,10.307017543859649,85.96491228070175
3304,3491,39.587510741907764,23.05929533085076,87.25293612145518
4101,86795,61.62566968143326,70.83472550262113,88.03963361944813
4102,90296,54.04336847700895,68.5434570745105,87.4889253123062
4103,4067,44.332431767887876,22.498155888861568,83.35382345709368
4104,1626,29.766297662976633,12.546125461254611,83.39483394833948
4105,1870,39.51871657754011,9.679144385026737,89.73262032085562
4106,9842,41.515952042267834,39.554968502336926,82.25970331233489
4201,11593,46.148537910808244,43.845423962736135,80.75562839644613
4202,3779,28.049748610743585,13.045779306694893,76.02540354591162
4203,8543,41.28526278824769,44.53938897342854,83.17921104998244
4204,10058,43.8258103002585,37.8106979518791,80.59256313382383
4301,42363,41.42530038004863,49.60224724405731,82.86712461345986
4302,5256,30.28919330289193,21.727549467275495,73.87747336377474
