codigo_comuna,poblacion_total,promedio_edad,porcentaje_menores_15,porcentaje_adultos_mayores,porcentaje_discapacidad,promedio_escolaridad,porcentaje_alfabetizacion
1101,199587,36.47681462219483,18.83639716013568,12.13906717371372,8.677635328394063,10.88180154420972,97.01954093465916
1107,142086,30.39185422912884,25.452190926621903,5.423475923032529,10.341745169497353,9.096736695869128,95.38923849794695
1401,16878,33.24096456926176,24.013508709562746,10.125607299443063,10.608484228037621,9.132950397893856,95.41466538584694
1402,1335,,,,11.755233494363928,7.453794139744553,92.50604351329574
1403,790,,,,13.370473537604457,6.662420382165605,87.43016759776536
1404,2858,,,,13.346153846153847,8.11095406360424,93.4949961508853
1405,6272,35.17123724489796,23.804209183673468,13.950892857142858,10.254645560908465,9.381150825452798,96.14457831325302
2101,401096,35.12353900313142,18.90071204898578,9.738067694517023,8.123610964123188,10.677235255222488,96.87429662406029
2102,14084,32.5222238000568,23.757455268389663,7.902584493041749,11.640131027652929,9.341004931741834,95.930808504153
2103,1472,,,,5.522827687776141,9.078458362009636,94.76787030213707
2104,12097,36.77498553360337,19.864429197321652,12.994957427461355,11.602064922565404,9.476170672876986,95.94499912418988
2201,166334,34.59021607127827,20.91574783267402,9.044452727644378,7.848702799897252,10.250414644074386,96.65798862211938
2202,256,,,,16.400000000000002,9.52016129032258,95.19999999999999
2203,9843,34.17829929899421,20.908259676927766,8.523824037386976,7.878854383847251,9.775734538730225,95.78485181119649
2301,25400,36.68330708661417,20.401574803149604,13.208661417322833,12.313774448605908,9.608707698396993,96.11638361638362
2302,4834,,,,6.631648063033486,10.140631491483173,96.64841182913472
3101,168831,35.7121974045051,19.866612174304482,11.064911064911065,9.332202538007287,10.2413918692197,96.25862740907434
3102,18805,37.69805902685456,19.250199415049188,14.400425418771604,13.792714559603022,9.9569979062651,95.6997742663657
3103,11846,35.72657437109573,20.732736788789467,11.43001857166976,9.53148795126758,8.867871690427698,94.83685908927932
3201,12345,37.71478331308222,20.299716484406645,14.937221547185095,10.68460286179419,9.478104868303026,95.50792970424347
3202,11397,36.05826094586295,21.163464069491972,10.28340791436343,11.703016241299304,9.901018149623727,96.21958015976222
3301,54222,38.220464018295154,19.440448526428387,14.846372321198038,11.17297770855641,9.67071356858662,95.34729663906478
3302,4788,,,,9.947871416159861,8.644761704807895,92.27757232978028
3303,7577,38.90642734591527,19.65157714134882,15.613039461528308,12.526038050270797,9.002918546033431,94.20833333333334
3304,9369,39.62375920589177,18.67862098409649,17.419148254883122,13.632266786840919,9.739632829373651,95.31866892272983
4101,250141,37.168988690378626,18.151762406003012,13.219344289820542,9.78296107614256,10.911410407232527,96.67698919294698
4102,263719,36.92545853730675,19.28947098995522,13.063146758481567,10.188260907846605,10.366205888749413,96.27431665104955
4103,11566,39.87298979768286,18.18260418467923,16.88569946394605,12.610579526990431,9.267290691627665,95.31419284940412
4104,4335,,,,14.431735215380872,8.295607715547293,92.07703559239395
4105,4649,,,,13.467177983307016,9.838025119099177,96.09568946061837
