codigo_comuna,total_viviendas,promedio_personas_vivienda,porcentaje_hacinamiento,porcentaje_agua_red,porcentaje_saneamiento,porcentaje_electricidad
1101,76870,2.596422531546767,7.299336542214127,85.14244828931963,78.49616235202289,85.48458436321062
1107,46807,3.035571602538082,11.353002755998034,66.56696647937275,63.61868951225244,81.39167218578419
1401,11659,1.447637018612231,5.763787631872373,31.82948794922378,28.201389484518398,36.91568745175401
1402,1178,1.133276740237691,6.791171477079796,11.884550084889643,2.461799660441426,38.455008488964346
1403,2218,0.35617673579801623,2.5247971145175834,9.017132551848512,1.4878268710550047,6.582506762849413
1404,3215,0.8889580093312597,4.447900466562986,18.102643856920682,13.872472783825817,18.818040435458787
1405,3200,1.96,7.062499999999999,44.3125,41.1875,53.5
2101,140680,2.8511231162922948,6.07406880864373,88.00611316462894,85.02772249075917,88.71978959340346
2102,5823,2.4186845268761807,6.40563283530826,70.46196118839086,63.146144599003954,71.32062510733299
2103,734,2.005449591280654,8.174386920980927,54.08719346049047,54.495912806539515,56.675749318801095
2104,5339,2.265780108634576,4.851095710807267,58.325529125304364,53.1934819254542,67.14740588125116
2201,61290,2.713884809920052,7.984989394681024,81.3215859030837,75.44623919073258,82.33806493718387
2202,438,0.5844748858447488,1.82648401826484,18.72146118721461,12.785388127853881,17.80821917808219
2203,5072,1.940654574132492,9.956624605678234,57.373817034700316,39.07728706624606,56.92034700315457
2301,11991,2.118255358185306,4.086398131932283,66.057876740889,63.53932115753482,66.2663664414978
2302,1939,2.4930376482723053,13.30582774626096,78.90665291387313,74.78081485301702,79.42238267148014
3101,64740,2.6078313253012047,4.976830398517146,75.84182885387705,73.73185047883844,82.17021933889403
3102,18161,1.0354606023897361,1.7730301194868126,29.70651395848246,29.45873024613182,32.360552832993775
3103,4659,2.5426057093796954,6.224511697789225,65.89396866280318,61.27924447306289,76.51856621592617
3201,7261,1.7001790386999036,3.1813799752100262,53.84933204792728,50.87453518799063,52.81641647156039
3202,6809,1.6738140696137465,3.0547804376560435,51.74034366279924,51.285063886033186,58.71640475840799
3301,23540,2.3033984706881903,4.367034834324554,66.20220900594732,62.64655904842821,70.5947323704333
3302,3164,1.5132743362831858,2.6232616940581543,50.47408343868521,7.711757269279393,55.72060682680152
3303,4398,1.7228285584356526,3.4333788085493406,46.83947248749432,37.949067758071855,53.97908140063665
3304,7377,1.2700284668564457,2.4671275586281687,37.115358546834756,34.82445438525146,40.6669377795852
4101,109766,2.2788568409161307,2.9927299892498587,70.68217845234408,67.51179782446295,74.07667219357542
4102,113426,2.3250312979387444,3.74252816814487,71.11156172306174,66.88325428032374,75.4439017509213
4103,5129,2.255020471826867,2.983037629167479,64.24254240592708,53.87015012673035,71.63189705595633
4104,3214,1.348786558805227,2.8624766645924082,38.612321095208465,24.082140634723086,39.42128189172371
4105,2896,1.605317679558011,3.1077348066298343,54.350828729281766,23.1353591160221,58.70165745856354
4106,12060,2.325621890547264,3.9718076285240462,74.1542288557214,55.37313432835821,76.60033167495854
4201,14216,2.2516178953292063,3.629712999437254,68.88716938660664,56.724817107484526,76.77265053460889
4202,5779,1.6679356290015575,2.4398684893580205,37.670877314414255,17.857760858279978,56.03045509603738
4203,14236,1.6071227872998033,3.2382691767350376,48.58808654116325,39.0278168024726,54.69935375105367
4204,12158,2.288452048034216,3.5449909524592864,71.80457312057904,50.30432636946867,78.4092778417503
4301,49869,2.3801560087429063,3.8180031683009483,75.55796186007339,65.27101004632136,79.27369708636628
4302,7650,1.6933333333333334,2.758169934640523,50.588235294117645,37.3202614379085,60.20915032679739
4303,14475,2.0723316062176167,4.580310880829015,68.13816925734024,37.402417962003454,71.27461139896373
4304,5891,2.0499066372432524,3.734510269903242,45.442199966049905,34.40841962315396,65.89713121711085
4305,2913,1.487813250944044,2.814967387572949,56.53964984552008,10.573292138688638,58.97699965671129
5101,132788,2.1458113684971534,3.6253275898424557,76.70346718076935,75.04367864566075,78.42199596349067
