anio,codigo_comuna,nombre_comuna,codigo_region,nombre_region,poblacion_total,ingresos_municipales,ingresos_educacion,ingresos_salud,promedio_escolaridad,porcentaje_alfabetizacion,porcentaje_agua_red,porcentaje_saneamiento,porcentaje_electricidad,porcentaje_hacinamiento,promedio_personas_vivienda,porcentaje_computador,porcentaje_internet_fija,porcentaje_internet_movil,ingresos_municipales_pc,ingresos_educacion_pc,ingresos_salud_pc,ingresos_municipales_pc_norm,ingresos_educacion_pc_norm,ingresos_salud_pc_norm,promedio_escolaridad_norm,porcentaje_alfabetizacion_norm,porcentaje_agua_red_norm,porcentaje_saneamiento_norm,porcentaje_electricidad_norm,porcentaje_computador_norm,porcentaje_internet_fija_norm,porcentaje_internet_movil_norm,porcentaje_hacinamiento_inv,porcentaje_hacinamiento_norm,promedio_personas_vivienda_inv,promedio_personas_vivienda_norm,score_economico,score_capital_humano,score_infraestructura,score_habitabilidad,score_conectividad,iidc,ranking_iidc,percentil_iidc,categoria_iidc
2025,1101,IQUIQUE,1,Tarapacá,199587,101354404.0,0.0,42862855.0,10.88,97.02,85.14,78.5,85.48,7.3,2.6,56.54,75.1,87.61,507.8206696828952,0.0,214.75774975324043,1.5262042389592156,0.0,4.359938552617227,59.07514450867053,88.35182250396197,88.43018947814122,83.3315398687184,89.00369003690038,60.56270289767944,79.26237463604011,88.22501747030049,6.010000000000001,45.154019534184826,0.69,23.549488054607508,1.9620475971921476,73.71348350631625,86.92180646125333,34.35175379439617,76.01669833467334,54.593157938766254,45,87.2463768115942,Medio
2025,1107,ALTO HOSPICIO,1,Tarapacá,142086,31015111.0,0.0,30327937.0,9.1,95.39,66.57,63.62,81.39,11.35,3.04,43.02,60.02,86.28,218.28407443379362,0.0,213.44774995425306,0.6560309565701122,0.0,4.333343383716041,38.49710982658959,75.43581616481777,68.77315549910024,67.31948778650597,84.69161834475489,44.306841409161954,63.000107839965494,85.9014675052411,1.9600000000000009,14.725770097670928,0.25,8.532423208191126,1.6631247800953846,56.96646299570368,73.59475387678704,11.629096652931027,64.40280558478952,41.65124877806133,294,15.072463768115943,Bajo
2025,1401,POZO ALMONTE,1,Tarapacá,16878,16823876.0,16455549.0,4359324.0,9.13,95.41,31.83,28.2,36.92,5.76,1.45,37.67,38.08,84.67,996.7932219457282,974.9703163881976,258.2843938855315,2.9957623458874862,50.78660142046429,5.243601628974091,38.84393063583816,75.59429477020602,31.999576585159307,29.20477778973421,37.807063784923564,37.8742334976554,39.34001941119378,83.08874912648498,7.550000000000001,56.72426746806912,1.84,62.79863481228669,19.675321798441953,57.21911270302209,33.00380605327236,59.76145114017791,53.43433401177805,44.61880514133848,236,31.88405797101449,Bajo
2025,1402,CAMIÑA,1,Tarapacá,1335,3515135.0,2400679.0,795322.0,7.45,92.51,11.88,2.46,38.46,6.79,1.13,24.54,5.11,74.44,2633.059925093633,1798.2614232209737,595.7468164794008,7.913398290032019,93.67217095310737,12.094648578465687,19.42196531791908,52.614896988906544,10.881761405737272,1.5065102765522436,39.43068002108593,22.08729109053745,3.7851827887415075,65.21663172606569,6.5200000000000005,48.98572501878287,2.16,73.72013651877133,37.893405940535025,36.01843115341281,17.272983901125148,61.3529307687771,30.363035201781546,36.58015739312633,336,2.898550724637681,Bajo
2025,1403,COLCHANE,1,Tarapacá,790,3378014.0,1516594.0,1314362.0,6.66,87.43,9.02,1.49,6.58,2.52,0.36,6.23,1.98,37.11,4275.967088607595,1919.7392405063292,1663.7493670886076,12.850991473738393,100.0,33.77687192102216,10.289017341040468,12.361331220285289,7.854345294802583,0.462713870655332,5.819715340010543,0.07214139713839185,0.4097918688666018,0.0,10.790000000000001,81.06686701728025,2.93,100.0,48.87595446492018,11.325174280662878,4.712258168489486,90.53343350864012,0.16064442200166454,31.121492968942867,343,0.8695652173913043,Crítico
2025,1404,HUARA,1,Tarapacá,2858,4011278.0,3918062.0,2091848.0,8.11,93.49,18.1,13.87,18.82,4.45,0.89,26.47,9.53,79.5,1403.5262421273617,1370.9104268719384,731.92722183345,4.218157763375161,71.41128325898897,14.859336698435158,27.05202312138728,60.38034865293183,17.465862178469354,13.784569030453028,18.724301528729576,24.407839365155702,8.551709263453034,74.05660377358491,8.86,66.56649135987979,2.4,81.91126279863481,30.162925906933097,43.716185887159554,16.65824424588399,74.23887707925729,35.67205080073122,40.089656783993036,314,9.27536231884058,Bajo
2025,1405,PICA,1,Tarapacá,6272,8251068.0,8643302.0,3858998.0,9.38,96.14,44.31,41.19,53.5,7.06,1.96,39.79,31.09,86.13,1315.5401785714287,1378.077487244898,615.2739158163265,3.953724448259703,71.78461835688849,12.491081085873091,41.734104046242784,81.378763866878,45.210119614692495,43.18304099860109,55.28729573010016,40.423229529878554,31.802005823358133,85.63941299790356,6.250000000000001,46.95717505634862,1.33,45.39249146757679,29.40980796367376,61.5564339565604,47.89348544779792,46.1748332619627,52.62154945038009,47.53122201607498,176,49.275362318840585,Bajo
2025,2101,ANTOFAGASTA,2,Antofagasta,401096,167337272.0,134587742.0,64906062.0,10.68,96.87,88.01,85.03,88.72,6.07,2.85,60.14,77.82,90.7,417.20005185790933,335.54994814209067,161.82176336837065,1.2538530344523955,17.47893365213443,3.285250220645952,56.76300578034682,87.16323296354999,91.46819096009317,90.35833423006565,92.41960991038482,64.89118672598292,82.19562169740105,93.62334032145354,7.24,54.395191585274226,0.43999999999999995,15.01706484641638,7.339345635744259,71.96311937194841,91.41537836684786,34.706128215845304,80.23671624827917,57.13213756773299,27,92.46376811594203,Medio
2025,2102,MEJILLONES,2,Antofagasta,14084,12517847.0,12482052.0,0.0,9.34,95.93,70.46,63.15,71.32,6.41,2.42,45.29,61.75,88.48,888.7991337688156,886.2575972735018,0.0,2.6711969136433433,46.16551970046475,0.0,41.27167630057804,79.71473851030119,72.89086482481211,66.813730765092,74.07485503426462,47.03619093423109,64.86573924296344,89.74493361285816,6.9,51.84072126220887,0.8700000000000001,29.692832764505123,16.27890553803603,60.49320740543961,71.2598168747229,40.76677701335699,67.2156212633509,51.202865618981285,90,74.20289855072464,Medio
2025,2103,SIERRA GORDA,2,Antofagasta,1472,8692285.0,2163434.0,1947346.0,9.08,94.77,54.09,54.5,56.68,8.17,2.01,57.29,23.61,73.92,5905.084918478261,1469.7241847826087,1322.9252717391305,17.747142194159522,76.55853220956043,26.857577438366814,38.26589595375723,70.52297939778128,55.562612469567064,57.50564941353707,58.63995782814971,61.46447036190934,23.735576404615546,64.30817610062894,5.140000000000001,38.6175807663411,1.2800000000000002,43.68600682593857,40.387750614028924,54.394437675769254,57.23607323708461,41.151793796139835,49.83607428905128,48.60122592241478,145,58.26086956521739,Bajo
